x(km)  y(km)
-2	28
-4	28
-6	30
-8	30
-8	26
-10	26
-10	22
-10	18
-8	18
-8	18
-6	20
-8	20
-10	16
-8	16
-10	14
-6	8
-6	8
-4	4
0	4
0	2
2	2
4	0
6	0
8	0
6	0
6	0
10	0
14	14
14	16
12	16
12	18
10	16
12	14
12	16
12	16
12	16
14	18
14	20
14	22
14	24
14	28
14	30
12	36
10	40
8	42
6	44
4	46
2	46
2	46
0	46
0	46
-2	46
-4	46
-4	44
-4	44
-2	42
-2	42
-2	42
-4	42
-4	42
-4	40
-4	38
-4	36
-2	34
-2	34
-2	36
0	34
-2	36
-2	34
-2	34
-2	32
0	30
0	30
0	30
0	30
0	28
0	26
0	26
2	26
2	24
4	24
4	24
6	24
8	22
8	26
8	30
8	28
10	28
10	30
8	34
8	36
6	42
-2	56
-4	56
-2	50
-4	52
-4	50
-6	50
-2	44
-2	44
-4	46
-4	46
-6	46
-6	46
-6	44
-6	44
-8	42
-6	40
-6	38
-8	36
-6	34
-6	34
-4	36
-4	38
-2	36
-4	32
-2	34
-4	30
-4	26
-4	24
-4	20
0	18
0	22
0	22
0	28
0	32
0	32
-2	38
-2	36
-2	32
0	22
2	18
2	14
4	12
4	12
6	12
6	12
8	16
10	16
8	20
10	22
10	20
10	24
10	26
8	30
8	30
8	30
8	30
8	32
6	34
6	36
6	36
2	44
4	38
2	42
2	38
2	40
0	44
0	44
-4	50
-2	42
-4	42
-4	44
-4	40
-6	40
-6	40
-6	40
-6	40
-6	38
-6	38
2	32
2	32
0	36
-4	38
-2	36
-4	38
-2	36
-4	34
-2	34
-2	32
-2	36
4	20
-2	34
-2	36
2	36
0	34
2	32
-4	40
4	34
0	38
-2	36
-4	38
-6	34
-6	34
-6	28
-8	26
-8	36
-10	38
-12	38
-14	36
-16	34
-16	34
-16	28
-16	24
-16	20
-8	8
-8	10
2	6
2	6
8	6
10	8
10	10
12	14
10	22
10	26
8	34
8	30
8	32
6	32
4	36
2	36
4	34
0	38
0	36
-2	38
0	36
-2	36
-2	32
-4	34
-8	32
-6	32
-6	30
-6	30
-8	20
-8	26
-8	20
-6	22
-4	12
-6	14
-4	12
-4	12
-2	10
2	4
2	6
6	6
6	6
8	10
10	8
10	12
14	14
10	18
4	26
6	24
8	26
6	22
-2	32
-2	34
-2	32
-2	32
-2	26
-4	24
-2	24
-2	24
-2	24
-4	28
-2	24
-2	26
0	24
0	26
0	24
0	24
0	22
2	24
2	22
2	18
2	22
4	18
4	20
4	20
4	22
4	22
6	22
6	26
4	28
2	30
2	32
0	30
-2	32
-2	30
-2	28
-2	26
-2	24
-2	24
-2	22
-2	24
-2	20
-4	22
2	18
4	20
4	24
2	30
-2	36
2	32
0	32
-2	32
-2	32
-4	30
-4	28
-4	28
-2	26
-2	26
0	24
0	26
0	26
0	24
0	24
0	24
0	22
2	22
2	20
2	16
2	20
2	16
2	16
2	16
2	12
4	12
4	14
8	10
6	16
6	20
2	24
8	16
10	16
4	28
0	30
2	26
0	28
-2	32
2	28
4	28
4	30
4	30
2	32
0	30
2	28
0	30
2	22
2	20
6	18
6	20
4	22
4	20
4	22
4	24
4	26
2	28
2	26
4	26
4	28
4	26
6	24
6	28
6	24
8	18
