x (km)  y(km)
2	0
2	0
2	2
4	0
4	0
4	2
4	0
6	0
6	2
6	4
4	4
0	8
2	6
2	6
2	8
0	8
-2	8
0	6
2	6
-4	12
-6	14
-10	16
-10	14
-8	12
-4	8
-6	10
-4	8
-4	8
-2	6
-2	6
-2	6
-4	6
-4	6
-4	6
-14	12
-8	6
-2	4
-2	4
-6	6
-6	6
-6	6
-6	4
-4	4
-2	4
2	2
4	2
2	4
2	4
2	6
2	4
4	6
4	4
6	6
6	6
6	6
6	4
8	8
8	8
10	8
10	12
10	8
10	10
10	10
10	10
12	10
12	12
12	14
12	14
12	16
12	16
12	16
12	18
12	18
12	18
12	20
12	20
12	22
12	24
12	26
12	26
12	28
10	30
8	32
6	32
6	32
8	32
6	36
6	36
4	40
4	40
2	42
2	42
0	42
0	42
0	42
0	42
0	40
-2	42
-2	42
-2	42
-2	42
-2	40
-4	40
-4	40
-4	38
-4	38
-4	36
-6	36
-6	34
-6	32
-6	30
-6	32
-6	30
-6	30
-6	30
-8	32
-6	26
-6	32
-6	28
-6	26
-6	26
-2	20
-4	22
-2	20
-2	18
0	16
0	16
2	16
2	16
2	16
4	16
2	14
2	14
4	14
6	16
6	18
8	16
8	18
8	16
10	20
10	26
8	28
8	28
6	32
4	38
2	40
2	38
0	40
0	40
0	36
-2	38
0	36
-2	38
-2	36
-4	36
-2	34
-2	34
-2	34
-2	32
-2	32
-2	30
-2	32
-2	30
0	28
0	28
2	22
4	24
6	18
4	22
4	18
4	18
6	20
2	32
2	32
0	32
-2	32
-4	32
-4	32
-4	28
-6	28
0	20
-2	22
2	20
4	18
2	20
6	24
4	26
2	30
0	32
0	30
0	28
-2	30
-2	28
-2	26
-2	26
0	30
0	34
-2	32
-2	28
6	24
4	26
2	28
2	28
0	30
2	28
0	28
0	30
0	26
2	24
2	26
2	30
4	32
4	34
2	36
0	36
0	36
-2	36
-2	36
-2	36
-4	34
-6	34
-6	34
-6	32
-6	30
-6	30
-6	26
-6	28
-6	26
-8	30
-6	26
-4	26
-4	24
-4	22
-4	20
-4	20
-2	20
-2	22
-2	24
-2	26
-2	30
-2	28
-2	24
-4	36
-2	22
-4	28
0	18
2	16
0	20
2	18
0	20
4	12
4	12
4	12
4	12
4	12
4	14
4	12
6	14
6	16
6	16
6	18
6	18
6	20
8	20
6	22
2	28
2	24
2	26
2	26
0	28
-2	26
-2	26
-2	26
-2	24
-2	22
-2	24
-2	20
-2	20
2	16
4	20
2	22
2	24
4	24
2	28
2	28
0	32
0	32
0	30
0	28
-2	26
-2	24
-2	24
-2	24
-2	24
-2	22
0	22
0	22
0	20
0	20
0	20
0	18
-4	22
-4	22
-4	22
-6	24
-6	22
-6	24
-6	22
-6	20
-2	16
0	14
0	16
6	10
6	12
10	12
10	14
8	18
8	18
8	22
6	26
6	26
4	28
4	28
2	26
0	26
0	22
0	22
2	20
2	22
0	24
-2	20
-2	20
-4	22
-8	22
-8	20
-8	18
-6	18
-6	18
-8	18
-6	14
-6	12
-4	8
0	4
2	4
6	2
8	2
10	2
10	4
12	6
12	8
12	10
12	12
12	12
12	14
12	16
12	18
10	18
10	18
8	20
8	22
6	24
2	30
-2	30
4	20
0	26
